تصنيف الشكوى,مضمون الشكوى
استرجاع مقررات,السلام عليكم انا عامل عملية شرائح ومسامير فى رجلى وكنت غائب لعذر طبى وتم سحب social networks فقط وجميع المقررات لم يتم سحبها ارجو اعاده المادة عشان امتحانها يوم ٢٠٢٣/١/١م اريد اعاده مقرر social network
تحويل مسار,تحويل محول 
تحويل مسار,غيرت من كليه
مشكله درجات ونتائج,اعاده التصحيح
مشكله درجات ونتائج,رصد درجات 
مشكله درجات ونتائج,خطأ فى رصد درجة الميد ترم بسبب عدم وجود ايميل جامعى وتم تسليم الامتحان عن طريق الايميل الجامعى الخاص بهندسة لتأخر تسجيلى على سيستم الكلية لبعد الميد ترم بسبب انى محول من كليه الهندسه مع العلم أنه تم تسليم اسايمنت فى مواد اخرى عن طريق ذات الإيميل وتم رصدهم بنجاح ومع العلم أنه يوجد مشكله فى السيستم ..اعاده التصحيح
مشكله امتحانات,لم يوجد لى رقم فى اللجنة الامتحان على الرغم من تسجيل الماده ولم أؤدى امتحانى
مشكله تخص المقررات,"Probability 2 
استرجاع الماده بعد تقديم العذر الطبى المرفق عليه"
استرجاع مقررات,سحب ماده probability 2 بسبب تكرار الغياب رغم وجود عذر طبى أو إعادة الامتحان  incomplete
مشكله تمنع التخرج,ارجوا دخول الامتحان ومراجعة امرى لانى بالمستوى الرابع وسحب الماده حيسببلى مشاكل كثير مما يؤدى إلى  تقاعدى فى الكلية عام آخر على ماده .ولن اغيب مره اخرى .عدم دخول الامتحان هيأذينى كتير والمشكله التى حدثت أثرت عليا وعلى نفسيتى فى وقت دخول الفاينل ارجو منكم شديد الرجاء بالسماح لى بدخول الماده بأعتبارى ابنتكم
استرجاع مقررات,"كنت مريضه وواخده دور جامد وكانت درجه حرارتى مرتفعة جدا ومازلت مريضه للحين وشفائى لم يكتمل بشكل كامل ولكنى تاذيت وسحبت منى الماده ورغم ذالك كنت بنزل الكلية ولم أخذ وقت كاف. للإعاقة وجودى فى تجمعات كان بيسبب اضطرابات فى التنفس ومعى تقرير ما يثبت ذالك 
اول اسبوع كان عندى مشكله فى الجدول وبظبطه وحضرت فى سكشن تانى وبعدين حولت سكشن دا مما أدى اى تغيبى يوم 10/4"
مشكله امتحانات,دخول امتحان امتحانات
مشكله امتحانات,برجاء إعادة دخول الامتحان لمقرر critical thinking حيث لم احضر الامتحان بسبب عدم معرفة موعد الامتحان بسبب سحب المادة واستعادتها وشكراً . وبالإضافة تم تحقيق شرط اللائحه الذى ينص على حصول الطالب على اكثر من 60% من الأعمال الفصل حيث حققت 80%وتم استيفاء شرط ال incomplete للمقرر وشكراً لسيادتكم
استرجاع مقررات,ارجاع المقررات المحذوفه فى اسرع وقت حتى ادخل الامتحان
استرجاع مقررات,استرجاع
استرجاع مقررات,إن. كنت مريض ومحجوز فى المستشفى ولهذا السبب تغيبت عم المقررات بعضها وليس كلها وتم سحب منى مقرر probability 2  وارغب فى استعادتها إن لم اتمكن ارغب فى استعادتها incomplete
استرجاع مقررات,أنه من المقرر لى عمل عمليه ناسور عصعصى مرتجع بمصاريف ١٥٠٠٠ جنيه فقط لا غير كما هو مرفق مع الشكوى ولم يتم عمل عمليه حتى تتوفر مصاريفها وانى أعانى من مضاعفات ولهذا تغيبت وانسحبت المواد جميعها ولكنى انتظمت الان حتى عمل العملية ولانها أيضا تحتاج الراحه لذالك فضلاً رفع الغياب عنى واسترداد المواد المسحوبه
استرجاع مقررات,ارجوا من سيادتكم رفع الغياب الخاص بى من الفتره من ٢٠٢٢/١٠/١ الى الفتره ٢٠٢٢/١٠/٣١ وإعادة المواد لجعلى قادر على دخول الامتحانات فى مواعيدها ودخول المواد التى كنت غير قادر على دخولها فى مرحله  incomplete
مشكله تخص المقررات,إن الغياب الخاص بى فى فتره من ٢٠٢٢/١٠/١حتى ٢٠٢٢/١٠/٣١ كان بسسب عذر مرضى مرفق تقرير من المستشفى يفيد بذالك وذالك أدى لعدم قدرتى على الحضور فى الكلية فى الفتره المذكوره مما أدى لسحب المواد الاتيه ( Big Data - simulation - social networks - mobile application)
استرجاع مقررات,اعاده ماده intro to computer system بعد سحبها
حذف و اضافه,اتقدم بطلب شكوى لسيادتكم لأنه تم سحب ماده intro to computer system منى وذالك بعد تغيير عن عدد من السكاشن والتى تغيبت عنها بعد أن قدمت طلب حذف واضافه لازاله هذه الماده وتسجيل ماده intro to Ai بدلاً عنها وكنت ملتزم بحضور هذه الماده وعدم تفويت اى جزء يتم شرحه متوقعاً أن يتم قبول طلب الحذف والاضافه ولكن لم يتم قبوله لذا أصبحت احصر جميع محاضرات وسكاشن intro to computer system لتعويض ما فاتنة فأرجوا من سيادتكم قبول شكوتى واعاده ماده intro to computer system بعد سحبها
مشكله امتحانات,ارجوا تحديد موعد آخر للامتحان مع الاحتفاظ بالتقدير
مشكله امتحانات,لقد تغيبت يوم امتحان ماده Data Base بسبب التواء قدمى أثناء القدوم للامتحان وعدم قدرتى على المشى وذهاب. للمستشفى وكرفض شهادة بذالك .لذالك ارجوا من سيادتكم قبول اعتذارى عن عدم دخول الامتحان وتحديد موعد آخر لأداء الامتحان
استرجاع مقررات,رجوع ماده بعد سحبها للتمكن من دخول الامتحان النهائي للمادة وهى computer vision
استرجاع مقررات,تحدثت مع عميد الكلية وطلب منى انى اقدم شكوى لكي يتم استرداد المادة وعوده مقرر computer network بسبب سحبها لتخطى نسبه الغياب ولكن انا كنت مريض ولذلك لم اتمكن من حضور عدد ٢ سكشن فى شهر ١٠ وقد قدمت شهاده مرضيه من مستشفى حكومى لكى اضمن حقى ويتم استرجاع المقرر أن شاء الله
اعتذار عن فصل / عام دراسي,يعتذر عن
اعتذار عن فصل / عام دراسي,تقدمت والده الطالب بطلب تطلب فيه قبول عذره عن العام الجامعي ٢٠٢٢/٢٠٢٣ نظرا لمرافقة والده المريض
مشكله امتحانات,ارجوا من سيادتكم التكرم بالموافقه على أن ادخل امتحان مادتين programming و probability and statistical
استرجاع مقررات,"لقد تم سحب مادتين وهما  and statistical probability و programming 
لانى تغيبت اكثر من مره بسبب مرضى"
حذف و اضافه,حذف مقرر training 2 واضافه مضروع التخرج مع د/ وليد
حذف و اضافه,حذف و اضافه
حذف و اضافه,لم استلم بيان الحاله مما أدى ال عدم تسجيل المقرر ( مشروع التخرج) ولذالك سوف احذف training 2 وسوف اضيف مشروع التخرج مع د/ وليد
مشكله تخص المقررات,سحب مقرر ماده بسبب الغياب عذر سته محاضرات وذالك بسبب مرض بداء السكري وإعانى من أعراض هذا المرض اللعين من هبوط فى السكر وهبوط فى الدوره الدمويه معا يعرض حياتى للخطر وفى بعض الأوقات تضطر الخروج لدخول الحمام أو لأخذ جرعه انسولين ارجوا من سيادتكم النظر لى بعين الرحمه والسماح لى بدخول الامتحان مع الأخذ بالاعتبار فى الاختبار انى حصلت على أعمال سنه ٣٦/٤٠ ولكم منى عظيم الشكر والتقدير
استرجاع مقررات,سحب اجبارى لماده concurrent لهدم الحضور المادة نهائيا بتقدير FW
حذف و اضافه,انسحاب ينسحب 
مشكله تخص المقررات,لم احضر للمادة اى محاضره أو سكشن منذ بدايه الترم ولم تحضر الميدترم وكان مسجل على بن الهيثم ٤ مرات غياب فقط فمن المفروض أن يتم سحب المادة اجبارى (FW) لكن لم يتم سحبها ونظل أسمى فى الكشف الفاينل بالتالى سوف تحسب لى بتقدرى (F) وتم التواصل مع دكتور وليد اسماعيل ودكتور ياسر فؤاد والمحصله التقديم بشكوى لسحبها
حذف و اضافه,ارجوا إضافة ماده ال web إلى جدول. الدراسى لانه التأخر والخطا الحاصل ليس ذنبى وكل المواعيد متاحه فى جدول. فا ارجوا فتح التسجيل بالسيستم واضافه المادة ضرورى
حذف و اضافه,"تم تقديم طلب حذف واضافه بتاريخ ٢٠٢٣/٣/٢ الموافق الخميس لتسجيل ماده ال web لكى اكمل عدد الساعات من 16 ساعه الى 19 ساعه نظرا لحاجتى الماسه لهم لعده اسباب 
١) احتمالية عدم وجود سمر كورس هذا العام 
٢) مازال عندى ٢ تدريب لم ادرسهم"
مشكله امتحانات,ملحق الشكوى بالطلب وما يثبت احقيتى بدخول امتحان ماده ( social networks) incomplete
مشكله امتحانات,مشكله امتحانات
اعتذار عن فصل / عام دراسي,اعتذار عن فصل / عام دراسي
اعتذار عن فصل / عام دراسي,إن والدى مريض يعاني من فشل كلوي ينتج عنه غسيل دموى متكرر ثلاث مرات أسبوعياً بدء من تاريخ ٢٠٢١/٨/٧م وايجابى لفيروس سى ويحتاج للإعاله كل غسيل دموى مدى الحياه عذر عن التغيب الفصليين الدراسيين السابقين
مشكله امتحانات,تم سحب مادتين وإرسال شكوى وتمر الموافقة عليها ولكن تم إعادة ماده والثانية لم تعد وهى ماده probability و تسبب فى عدم حضور الامتحان واريد اعاده الامتحان incomplete
مشكله امتحانات,لم استطع حضور امتحان التفكير الناقد وذالك لقيدى مؤخرا بالكلية وحصول. على الايميل الجامعى فأريد أن امتحن امتحان ال midterm ثانيه
استرجاع مقررات,اعاده تسجيل المقررين المحذوفين
استرجاع مقررات,تم حذف مقررين من موقع بن الهيثم بدون سبب وكان الموقع مغلق ولن أنتبه لذالك
مشكله امتحانات,ارجوا من سيادتكم رفع الغياب الخاص بى فى فتره الموضحه أعلاه المواد المسحوبة لجعلى قادر على دخول الامتحانات فى مواعيدها أو دخول امتحان المواد التى كنت غير قادر على حضورها فى مرحلة incomplete وشكراً
استرجاع مقررات,"تم التواصل مع دكتور حسين طب ليه ،د/ محمد الخولى وشرح له الحاله واعطى موافقة شخصية على السماح بدخول امتحانات المواد
إن الغياب الخاص بى من فتره ٢٠٢٢/١٢/١ حتى نهاية الشهر كنت أعانى من شرخ أسفل العمود الفقرى نتج عنها راحه تامه فى المنزل وتم الكشف وطلب الاشاعه الحاله كما موضح فى هذه الفقره وتم سحب مواد( probability/mobile programming) نتيجة لعدم مقدرتى على الحضور كما هو موضح فى التقرير"
مشكله درجات ونتائج,كنترول/نتائج
مشكله درجات ونتائج,نتيجه ماده و درجه ماده
مشكله درجات ونتائج,تصحيح الدرجات 
مشكله درجات ونتائج,النظر إلى حالتى المرضية ومراعاة هذه الحاله فى التصحيح وانى فى سنه التخرج وارجوا الرأفه والمراعاه فى التصحيح
مشكله درجات ونتائج,انا مريض سكر وتأتى إليا بطبيعة الحال هذا المرض غيبوبة سكر فى بعض الأحيان وقبل امتحان الماده جات آليا هذه الغيبوبة من ما أثر على تركيزى فى الامتحان وعلى اجاباتى وارجوا مراعاه التصحيح والنظر فى حالتى المرضية
حذف و اضافه,"حذف principal of management , Data structure 
واضافت probability و discrete"
حذف و اضافه,قدمت طلب حذف واضافه ولم يقبل ثم تم حذف لى مواد واضافه مواد اخرى لم اطلب اضافتها
مشكله درجات ونتائج,تعديل تقدير 
مشكله درجات ونتائج,"تعديل تقديرات المواد المسحوبة إلى ""W"" والمواد هى concurrent algorithms ,Web"
مشكله درجات ونتائج,"قمت بسحب مادتين 1)web الفصل الدراسى السابق 
2) concurrent algorithms 
ولكن عند ما ارسل دكتور المادة النتيجة تغيرت التقديرات"
مشكله امتحانات,اعاده امتحان ماده النيومركال الخاص بمادة الدكتور بثينه
مشكله امتحانات,برجاء إعادة امتحان ماده النيومركال بسبب وفاة الوالد رحمه الله عليه
مشاكل النظام (موقع/تسجيل),سكشن ماده algorithm design  متسجل فتره خامسه من الساعة ٤ ل٦ وانا عندى ظروف شغل بداية من الساعة ٢ هيبقى افضل لو السكشن قبل الساعة ٢
مشاكل النظام (موقع/تسجيل),"تحيه طيبه وبعد نظراً لأن التسجيل على بن الهيثم كان بأسبقيه التسجيل فلم يتسنى لى أن أسجل مواعيد تتماشى مع ظروفى ،فقد سجلت يوم الاثنين لاب واحد فقط وانا من منطقة بعيدة ( العجمى) 
وفضلا عن اى يوم الثلاثاء ولدى فيه كورس يتعارض مع مواعيد أحد المحاضرات ولم استطع تسجيل موعد يتناسب معه فأطلب منكم أن تغيروا لى هذه المواعيد المرفقة بالاسفل حتى تحقق اكبر استفادة لى فى هذا الترم وتخفيف بعض من الضغط عنى وشكر لتفهمكم 
Computing intensive 
Statistical methods [section الخميس فتره ثالثه]"
مشكله درجات ونتائج,اعاده رصد درجة التقرير وعدم سحب التدريب
مشكله درجات ونتائج,تم تسليم تقرير نهاية التدريب متأخر يومين عن اخر ميعاد التسليم بسبب عذر مرض (COVID -19) وتم إعتماد نتيجة التقرير صفر مع العلم أن درجات جهه التقرير كامله الرجاء اعاده رصد درجة التقرير وعدم سحب التدريب
استرجاع مقررات,الحقيقة أن المادتين ال programming - probability اتسحبوا منى من سبب الغياب لكن فى الحقيقة بحضر محاضرات ووالله بحضر محاضراتهم لكن اتسحبوا منى بسبب السكاشن والمادتين مواعيدهم يوم الأحد مع بعض ويوم الأحد يوم موعد كشف والدتى ومفيش غير. حد يرعاها لا اخواتى متجوزين فا الغرض من الشكوى استرجاع مادتين ال programming  و probability
مشكله درجات ونتائج,"تم تقييمى غ ماده (field training 1) بدرجة 79.666 واعطاءى تقدير (B) 
تزويدى 4. على الدرجة لتصبح (80) والحصول على تقدير (B+)"
استرجاع مقررات,كنت مريض فى فترة من ١٥/١٠الى ٣٠/١٠ ومرفق بالشهادة المريضه كامل التفاصيل فكثر الغياب وادى ذالك إلى سحب هذه المواد الغرض استرجاع المواد المسحوبة
استرجاع مقررات,"تأجيل امتحانات الميد ترم تم سحب ماده probability 2,AI, Data science methodology, Simulation, Numerical, computation"
مشكله امتحانات,نظراً لظروفى الصحية الطارئة وأنى مقدم لسيادتكم الشهاده الطبيه التى تثبت إجراء عملية جراحية باستئصال الطحال وارجو من سيادتكم تأجيل امتحانات الميد ترم
اعتذار عن فصل / عام دراسي,إن والدى كان يعانى من التهاب حاد في الرئه وتدهور فى اوضاع الحسى وكنت مرافق له فى المستشفى اعتذار عن الترم السابق وعدم احتسابه من سنوات الرسوب
مشكله تخص المقررات,السماح باستكمال مقرر (linear algebra) امتحان الامتحان النهائي للمادة فى الأسبوع الأول من الترم القادم بعد التفضل وقبول العذر القهرى الموضح اعلاه
مشكله امتحانات,طلب إستكمال مقرر linear algebra واعتباره incomplete  وذالك بسبب التغيب قهراً عم أداء الامتحان النهائي يسبب الأمطار وإغلاق الطرق خاصه وان سيادة محافظ الإسكندرية أقر بنفسه بتوقف حركة المرور بسبب الامطار وقام بإمضاء اجازه للفئات المسموح لها ذالك يوم 2023/1/12 و عليه فقد حاولت الوصول للامتحان على الموعد ولكن توقف حركة السير كنعنى من الوصول للكليه لأداء الامتحان
مشكله تخص المقررات,سحب ورفع الغياب من المواد المذكورة منذ تاريخ التشخيص حتى انتهاء مده العلاج من يوم ٢٠٢٢/١٠/٣١ حتى ٢٠٢٢/١٢/١
استرجاع مقررات,لقد قدمت مسبقا طلب بالاجازه المرضية موضحاً الشهاده مختومة لمرضى الشديد وعدم القدره على المشى بسبب شرخ فى قدمى فكانت تحتاج للعلاج (جبس) والإجازة تم قبولها وتم احتساب الغياب وسحب المواد
مشكله امتحانات,تم قبول شهر مرض شكوى ، ولم ادخل امتحان ال(AI) ونظرا لعدم وجودى على السيستم الغرض من الشكوى امتحان الماده incomplete
مشكله تخص المقررات,"برجاء رفع الغياب فى الفترة من ٢٠٢٢/١٠/١٦الى ٢٠٢٢/١١/١٦ فى المقررات calculus د.محمد سعد 
Ai د.ياسر فؤاد 
Data science methodology  د.تامر زكريا بطرس"
مشكله امتحانات,نظراً للظروف المرضية واضابتى من ٢٢/١٠/١٦ إلى ٢٠٢٢/١١/١٦ لم اتمكن من حضور المحاضرات والسكاشن وترطب على ذالك سحب المقررات واذا لم أتمكن من حضور الامتحان برجاء السماح لى بأمتحنها incomplete
استرجاع مقررات,تم سحب ماده survey Methodology مع العلم انى غيبت سكشن واحد بس 
مشكله تخص المقررات,غياب غ
مشكله تخص المقررات,اتحسبلي غياب 3 مرات في ماده faculty elective رغم انى مغيبتش ولا سكشن 
اعتذار عن فصل / عام دراسي,الترم اللى فات كنت منسحب منه ومكتوبلى ع السايت F 
طلاب وافدين,سعودى وافد
طلاب وافدين,دولار يورو 
طلاب وافدين,مصاريف بالعمه اجنبيه الدولار
طلاب وافدين,سودانى سورى سافر طيران
طلاب وافدين,وافد / مغترب /هجره 
طلاب وافدين,طلاب وافدين
طلاب وافدين,باسبور ايقامه  تأشيره
طلاب وافدين,كويتى سفر 
طلاب وافدين,مصري مقيم
طلاب وافدين,انا طالب غير مصري قمت بدفع المصروفات بالدولار ولكن لم يتم حسابها على السايت ما الحل؟
مشاكل النظام (موقع/تسجيل),حضرت التدريب الصيفي ولكن لم يتم احتسابه على السايت 
مشكله درجات ونتائج,حجب النتيجه محجوبه
مشكله درجات ونتائج,تم حجب نتيجه الترم الأول بالرغم من انى دافع المصاريف 
مشاكل النظام (موقع/تسجيل),الايميل بتاعى على موقع الكليه مش عايز يفتح نهائي  ايه الحل ؟
مشاكل النظام (موقع/تسجيل),سايت site الايميل email
مشاكل النظام (موقع/تسجيل),اتعملى حظر من السايت ومش عارف ايه السبب او الغى الحظر ده ازاى 
اعتذار عن فصل / عام دراسي,أود الانسحاب من هذا الترم ما الإجراءات التي يجب اتباعها 
مشكله درجات ونتائج,بعد نزول نتيجه ماده Mobile Programming بفتره تم حذفها ومكتوبلى N\A
مشكله درجات ونتائج,طلبت من الدكتور رفع درجه ماده Probability and statistics 1 من 75 الى 76 ليصبح التقدير B بدل B- ورغم موافقة الدكتور لم يتم التعديل ع الموقع
مشاكل النظام (موقع/تسجيل),حاولت تسجيل ماده Project 2 اكتر من مره على الموقع ولم استطيع والترم اقترب على الانتهاء 
مشكله امتحانات,مشكله امتحانات
تنسيق,تنسيق
تنسيق,مجموع ثانويه عامه  مجموعى
تنسيق,مجموعي في الثانوية العامه 94.02% وقمت بالتقديم على كلية الحاسبات وعلوم البيانات ولم يتم قبولى على الرغم من قبول الكليه بمجموع 90%
مشكله تخص المقررات,تفاجأت بتغيير موعد سكشن Introduction to Databases بعد حضوري سكشنين فىى الموعد القديم ولم يتم تبليغي بتحويلي لموعد اخر 
تحديث بيانات,اريد كتابة أسمي بالانجليزيه على موقع ابن الهيثم ولا يمكنني تعديله 
حذف و اضافه,اريد حذف ماده Numerical Computations من المقرر 
مشاكل النظام (موقع/تسجيل),انهيت التربيه العسكريه ولكن لم يتم احتسابها على الموقع ولا استطيع التخرج 
استرجاع مقررات,قمت بتسجيل مادة linear Algebra وعند فتح الموقع مره اخرى وجدتها محذوفه 
حذف و اضافه,تم تسجيل ماده programing 1 ولم استطع حذفها وتغييرها بعد ذلك 
مشاكل النظام (موقع/تسجيل),بتواجهنى صعوبه فى فتح الموقع أغلب الاوقات رغم ان سرعة النت كويسه جدا 
مشاكل النظام (موقع/تسجيل),أقوم بتسجيل المواد والموقع يقفل لوحده ولما افتح تانى مش بلاقى المواد اللى سجلتها 
مشكله درجات ونتائج,حصلت على تقدير فى ماده operating system وعند الفتح فيما بعد وجدت التقدير تم تغييره 
مشاكل النظام (موقع/تسجيل),عند تسجيل المقررات لم يفتح الموقع لأكثر من اسبوعين ولم يتم فتح التسجيل يدويا 
تحديث بيانات,الاسم الذي سجلت به فى الموقع غير مطابق لبطاقة الرقم القومى ولم استطع تعديله رغم الكثير من المحاولات 
استرجاع مقررات,وجدت ماده web programing تم سحبها بسبب غياب 3مرات فى السكشن بنفس التاريخ 
مشكله امتحانات,امتحنت ماده software engineering وعملت submit وفى النتيجه ظهرلى انى متعيب وكنت مضطر امتحن الماده تانى
مشاكل النظام (موقع/تسجيل),لم يفتح الموقع وقمت بتسجيل المواد يدويا وعندما فتح الموقع بعد ذلك وجدت صعوبه فى التسجيل على السيستم 
استرجاع مقررات,نجحت فى ماده Distributed Processing بتقدير B+ وبعدين لاقيت الماده اتسحبت ومعرفش السبب واضطريت ادخلهاسمر كورس تانى 
مشكله تخص المقررات,عندى سكشنين فى نفس اليوم ونفس الميعاد رغم وجود ميعاد تانى لسكشن منهم فى يوم اخر 
مشكله تمنع التخرج,مشكله تمنع التخرج
مشكله تمنع التخرج,تسجيل ماده Algorithm Design مع الخاص لعدم اتاحتها للعام وانا ترم تخرج 
مشكله درجات ونتائج,سجلت ماده حقوق انسان واديت الامتحان ولم يظهر لى نتيجه بالنجاح او الرسوب 
مشكله تمنع التخرج,انا فى ترم تخرج ولم تظهر لى ماده قضايا مجتمعيه على السيستم 
مشاكل النظام (موقع/تسجيل),عدد الساعات بتاعتى اللى ظاهره ع السيستم اقل من عدد الساعات الحقيقيه 
مشكله درجات ونتائج,أتمنى من سيادة موظفين شؤون الطلبه رفع درجات الاختبارات الاخيره التي اجريناها لم نتمكن من الحصول ع الدرجات حتى الان ولم يتبقي سولا وقت قليل على الفاينال 
تحويل مسار,أود ان أقوم بتحويل اوراقى الى جامعه اخرى ما الإجراءات الذى عليا تتبعها 
مشاكل النظام (موقع/تسجيل),أجد صعوبه في التسجيل للترم الدراسي القادم ما الحل هل يمكن فتح التسجيل يدويا 
مشاكل النظام (موقع/تسجيل),لم اقدر على تنسيق جدولى الدراسي بسبب تداخل مواعيد اغلب المواد مع بعضها ارجو من سيادتكم التدخل وحل المشكله 
اخرى,اخرى الخ 
اخرى,dfgsdr jyrj+B333ysfwef
اخرى,اقترح كيف حالك اهلا ملرحبا اعلم اثنى ابشر هاى اهلا hi sghl  dfgsdfgsrdgserggdgdfasdf
اخرى,اقترح على سيادتكم برفع المحتوى الدراسي لكل المواد ع الموقع لسهوله الوصول له بدل من الكثير من جروبات التليجرام والواتساب والفيسبوك 
مشاكل النظام (موقع/تسجيل),عندى 3 سكاشن في نفس الوقت وموجود مواعيد تانيه لسكشنين منهم ومش عارف اغير المواعيد
مشاكل النظام (موقع/تسجيل),عند تسجيل المواد وعمل submit الموقع بيهنج ويقفل ولما افتح تانى مش بلاقى المواد اللي سجلتها 
استرجاع مقررات,دون سابق انذار 
حذف و اضافه,أود حذف ماده وتسجيل ماده اخرى ما الخطوات الذي يجب علي اتباعها 
استرجاع مقررات,استرجاع مقررات
استرجاع مقررات,"أتقدم بشكوى بسبب حذف مادة ""تكنولوجيا اللغة"" من الجدول الدراسي للفصل الدراسي الأول للعام الدراسي 2022/2023 دون سابق إنذار أو توضيح."
مشاكل النظام (موقع/تسجيل),أرغب في شكوى بخصوص صعوبة التسجيل في الموقع الإلكتروني للجامعة، حيث يتطلب التسجيل وقتًا طويلاً ويتوقف الموقع أحيانًا دون إعلان مسبق.
مشكله درجات ونتائج,"أعاني من مشكلة تقنية في موقع الجامعة حيث لم يتمكن الموقع من احتساب درجات مادة ""Data Visualization"" بشكل صحيح، مما أدى إلى تغيير تقديري بشكل غير مبرر."
مشاكل النظام (موقع/تسجيل),لا يتم فتح تسجيل المقررات على الموقع لمدة تزيد عن ثلاثة أسابيع دون حلول أو ترتيبات بديلة للتسجيل اليدوي، مما يعرقل خطط دراستي.
مشكله تمنع التخرج,"أطلب تسجيل مادة ""قضايا مجتمعية"" التي تعتبر شرطًا للتخرج ولم تتوفر لي للتسجيل فيها للفصل الدراسي القادم."
مشاكل النظام (موقع/تسجيل),"تعطل الموقع أثناء فتح تسجيل مادة ""Data Computation"" مما حال دون إمكانية تسجيلها في الوقت المحدد."
تحديث بيانات, أرغب في تحديث اسمي على الموقع ليكون مطابقًا لاسمي كما هو مدرج في بطاقة الرقم القومي.
استرجاع مقررات,تم تكرار ثلاث مرات غيابي في مادة معينة في نفس التاريخ والسكشن مما أدى إلى سحب المادة دون مبرر مقنع أو إجراءات عادلة.
مشكله درجات ونتائج,"أقدم شكوى بخصوص عدم تسجيل تقديري في مادة ""Frontend G-mind"" للتدريب الصيفي الخارجي على الموقع الإلكتروني رغم انتهائي من الدورة بنجاح."
مشاكل النظام (موقع/تسجيل),أعاني من صعوبة في تسجيل مواد من جروب G1 إلى G2 على الموقع الإلكتروني بسبب عدم وضوح الخطوات المطلوبة لهذا التحويل.
مشكله درجات ونتائج,تم حساب تقديري العام CGPA بطريقة غير صحيحة حيث لم يتم احتساب ساعات معينة من الترم الأول، مما أدى إلى انخفاض غير مبرر في التقدير النهائي.
مشاكل النظام (موقع/تسجيل),اأرغب في إبلاغكم بمشكلة تقنية في موقع الجامعة الإلكتروني حيث لا يمكنني فتح البريد الإلكتروني الخاص بي بشكل دائم.
مشاكل النظام (موقع/تسجيل),تم حظري عن موقع الجامعة من دون إعلام مسبق أو توضيح للأسباب، مما يعيق قدرتي على الوصول إلى الموارد الأكاديمية وإنهاء الأعمال الدراسية بشكل سلس.
مشكله درجات ونتائج,أتقدم بشكوى بخصوص عدم تسجيل نتيجة تدريبي الخارجي على موقع بن الهيثم رغم نزولها لجميع الطلاب الآخرين، مما يؤثر على تقدمي الأكاديمي.
مشكله تمنع التخرج,لم يتم تحديث ساعاتي المعتمدة بشكل صحيح على الموقع حيث أن عدد الساعات المعتمدة لم يتم احتسابها بشكل كامل للترم الدراسي الأول، مما يعرقل تقدمي نحو التخرج.
حذف و اضافه,"أرغب في سحب مادة ""Simulation"" من الجدول الدراسي بسبب حرماني من دخول الامتحان رغم عدم غيابي سوى مرة واحدة في السكشن."
مشكله درجات ونتائج,تم حسابي كراسب في ترم كرونا رغم انسحابي منه ولم يتم التواصل معي لتوضيح السبب أو تعديل التقدير النهائي بشكل عادل.
اعتذار عن فصل / عام دراسي,أرغب في طلب انسحاب من الترم الدراسي 2024/2025 نظرًا لظروف شخصية لم تعد ملائمة لاستكمال الدراسة في ذلك الوقت.
مشكله درجات ونتائج, أتقدم بطلب للحصول على نتائج الاختبارات الأخيرة التي أجريتها ولم يتمكن الطلاب من الوصول إليها حتى الآن.
تحويل مسار,تحويل مسار
تحويل مسار,"أطلب تحويل مسار دراستي من القسم الخاص بـ ""Business Intelligence"" إلى ""Data Science"" لتغير اهتماماتي وتطلعاتي المهنية دون أن يتم تنفيذ الطلب بشكل صحيح."
تحديث بيانات,لم يتم تحديث اسمي بعد الإبلاغ بوجود خطاء على الموقع الجامعي.
مشاكل النظام (موقع/تسجيل),"تأخر في تسجيل مادة ""تقنيات البرمجة المتقدمة""."
حذف و اضافه,"حذف مادة ""الذكاء الاصطناعي"" من الجدول دون إشعار مسبق."
مشكله درجات ونتائج,"عدم حساب درجات مادة ""المحاسبة المالية"" بشكل صحيح."
مشاكل النظام (موقع/تسجيل),صعوبة في تسجيل مقررات المستوى الثالث عبر الإنترنت.
مشاكل النظام (موقع/تسجيل),انقطاع متكرر للخدمة على موقع الجامعة أثناء فترات التسجيل.
تحويل مسار,"طلب تحويل من قسم ""الهندسة الكيميائية"" إلى ""الهندسة الميكانيكية""."
فتح مقررات,"عدم توفر مقرر ""التخرج والبحث"" في الفصل الدراسي القادم."
مشكله درجات ونتائج,تأخر في إعلان نتائج امتحانات الفصل الصيفي.
مشكله درجات ونتائج,"طلب لمراجعة وتصحيح نتيجة امتحان ""الفيزياء الحديثة""."
مشاكل النظام (موقع/تسجيل),"عدم إمكانية التسجيل في مادة ""اللغة الإنجليزية للمبتدئين""."
شؤون خريجين,عدم استلام شهادة التخرج بعد انتهاء المدة المحددة.
اعتذار عن فصل / عام دراسي,طلب اعتذار عن الفصل الدراسي الحالي بسبب ظروف شخصية طارئة.
طلاب وافدين,صعوبة في إصدار تأشيرة الدراسة بسبب تأخر استكمال الأوراق الرسمية من الجامعة
